date,zone,ndvi_mean,ndvi_median,ndvi_std,ndvi_p25,ndvi_p75,ndvi_min,ndvi_max,height_mean_cm,height_median_cm,height_p25_cm,height_p75_cm,scene_key,valid_pixels,total_pixels,valid_fraction
9/5/2023,N,0.88772583,0.897024274,0.038985118,0.885070682,0.905094862,0.374823838,0.933837116,78.77258301,79.7024231,78.50706482,80.50948334,2023-09-05_6754787,59210,59210,1
9/6/2023,N,0.736094713,0.792791843,0.12445987,0.602265239,0.858466804,0.332695246,0.895461679,63.609478,69.27918243,50.22652435,75.84667969,2023-09-06_6756912,59210,59210,1
9/7/2023,N,0.569288194,0.572180569,0.037252586,0.54129231,0.592625439,0.31160897,0.794303834,46.92882156,47.21805573,44.12923431,49.26254272,2023-09-07_6758564,59210,59210,1
9/12/2023,N,0.425373286,0.422299832,0.032653067,0.404705882,0.442326277,0.2624304,0.650682032,32.53733063,32.22998428,30.47058868,34.23262787,2023-09-12_6768973,59210,59210,1
9/15/2023,N,0.474286228,0.473945379,0.047658175,0.443770438,0.505991697,0.233238056,0.652936399,37.42862701,37.39453888,34.37704468,40.59917068,2023-09-15_6775085,59210,59210,1
9/19/2023,N,0.665152729,0.670370936,0.064760283,0.629048944,0.708253264,0.267502189,0.815982699,56.51527023,57.03709412,52.90489197,60.8253212,2023-09-19_6783739,59210,59210,1
9/27/2023,N,0.801236928,0.812676966,0.055749375,0.781269193,0.836400867,0.303100109,0.883716822,70.12369537,71.2677002,68.12692261,73.64008331,2023-09-27_6799762,59210,59210,1
9/28/2023,N,0.791980743,0.803020954,0.057367869,0.771927238,0.82739985,0.280593872,0.877262831,69.19806671,70.30209351,67.19271851,72.7399826,2023-09-28_6801974,59210,59210,1
9/29/2023,N,0.812928736,0.823857725,0.055203501,0.794852197,0.847530007,0.31865716,0.891276062,71.29286957,72.38577271,69.48521423,74.75300598,2023-09-29_6804749,59210,59210,1
10/5/2023,N,0.832847834,0.846185207,0.053157605,0.818256021,0.863794625,0.30716309,0.908680499,73.28478241,74.61853027,71.82559967,76.37945557,2023-10-05_6816922,59210,59210,1
